,Name,sma,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,megno,lyapunov
0,Chiron,-977.7092994169504,1.0072711288054053,-0.9935007079941292,1.0072711288054055,0.08251821177290562,0.0,0.0,0.0,0.0
1,Pholus,-4204.2834048133545,0.9999382211710414,0.17564598482597382,0.9999382211710413,0.3264080919809122,0.0,0.0,0.0,0.0
2,Damocles,-672.405277570948,1.0018299621373168,-0.2513399660512068,1.0018299621373168,0.8058111822461872,0.0,0.0,0.0,0.0
3,Nessus,-5621.150343699144,0.99509684041145,-0.35621700501007536,0.99509684041145,0.1714020728046811,0.0,0.0,0.0,0.0
4,Asbolus,-2049.831373631356,1.0020136086574778,-0.8028402411133347,1.0020136086574778,0.28640766211143304,0.0,0.0,0.0,0.0
5,Chariklo,10307.603145264455,0.8679562383644928,0.4448802909672125,0.8679562383644926,0.6945123952828601,0.0,0.0,0.0,0.0
6,Hylonome,479394.6762841916,0.9930433901541948,-0.8189968087592634,0.9930433901541948,0.09231206019522101,0.0,0.0,0.0,0.0
7,1999 RG33,-5882.123342273944,0.9994989337777679,-0.5057455501605489,0.9994989337777681,0.5748309878337389,0.0,0.0,0.0,0.0
8,Albion,43.93798905380789,0.0708865312932515,0.08970501420511746,0.0708865312932515,0.04985790730386212,0.0,0.0,0.0,0.0
9,1993 SB,-311.04078682325655,0.5610106333130559,-0.35546707283971396,0.5610106333130559,0.06765097189947146,0.0,0.0,0.0,0.0
10,1993 SC,39.40420865451038,0.18423772070129812,-0.1471594741083528,0.18423772070129812,0.10289266580894886,0.0,0.0,0.0,0.0
11,1994 GV9,43.75285583524027,0.0706108574991031,0.35943359182555706,0.0706108574991031,0.04091541005137836,0.0,0.0,0.0,0.0
12,1994 JS,42.268595824995046,0.21274428113399838,0.23572406117835792,0.21274428113399838,0.22889374771680754,0.0,0.0,0.0,0.0
13,Arawn,39.40828123173402,0.12423654241502198,-0.23759929947843414,0.12423654241502197,0.06379664955899883,0.0,0.0,0.0,0.0
