,Name,obs_ecc,obs_sinI,calc_sinI,calc_ecc,ast_sinI,ast_ecc,ecc_diff
757,772,0.1985837428138819,0.1447809495417351,0.4578991417777138,0.1985823497895261,0.4577418,0.1664199,0.03216244978952609
1166,1197,0.2795379492407565,0.0900255922963237,0.2631626476899104,0.2795377382554949,0.2630664,0.2473326,0.03220513825549487
1144,1175,0.0724690396415603,-0.4361808250219359,0.2961751871281903,0.0724671531063899,0.29683,0.0395976,0.03286955310638991
481,489,0.1065093411076115,0.0250672218469264,0.2172020982470897,0.1065090243127056,0.2174621,0.0734097,0.03309932431270561
1097,1121,0.1587097999612554,0.1699545361380046,0.1142637814051538,0.1587088412443899,0.1129655,0.1920177,0.03330885875561013
631,643,0.1170137221211165,0.2897022674880992,0.2573637867865056,0.1170140487427231,0.2583869,0.0835073,0.033506748742723094
710,725,0.1603925922387278,0.0241331909270573,0.0485714642602602,0.1603921682533644,0.046952,0.1266168,0.033775368253364385
963,982,0.2246859176093903,0.1154668493099241,0.2240084000084763,0.22468141071228,0.2220683,0.258629,0.03394758928771999
1290,1330,0.1319357330764132,0.1685837016204195,0.2628424778510694,0.1319354771080604,0.2635938,0.097556,0.034379477108060386
1833,1907,0.1152799344675903,-0.003017240196461,0.0493145660070445,0.1152827659236856,0.0502916,0.0807833,0.03449946592368559
996,1018,0.1539986504587162,0.3150961512558938,0.1233297956589014,0.153997577453615,0.1242203,0.1893369,0.035339322546385
1276,1315,0.1089592769285355,0.4346553812394933,0.1386781971146355,0.1089588173998027,0.1386685,0.0734283,0.0355305173998027
500,508,0.0751547408239863,0.0807136509257638,0.2193516375318803,0.07515435513791,0.2192794,0.0394429,0.03571145513790999
957,976,0.1781114194777051,0.2080165034321212,0.1532866268077392,0.1781111845563117,0.1530545,0.1421982,0.0359129845563117
296,300,0.0558115782098131,0.7367816847428406,0.0183602308151762,0.0558091976873143,0.017264,0.0197165,0.036092697687314296
472,480,0.0456949647603358,-0.0510227202312815,0.3758484564525366,0.0456843939065229,0.3756688,0.0088517,0.0368326939065229
862,877,0.1534386197869439,-0.3410979867913449,0.0663119372236519,0.1534354933533227,0.0604082,0.1162803,0.03715519335332271
980,1000,0.260888646696957,-0.0911006617762727,0.3888582788250491,0.2608879267831658,0.3885113,0.2234464,0.03744152678316581
1150,1181,0.1448182521210861,0.154739971393189,0.1132321455780667,0.1448156989841477,0.1138253,0.1824928,0.03767710101585231
875,892,0.1146163546893087,0.276337019228517,0.3621273694839045,0.114614861331709,0.3632511,0.0766273,0.03798756133170901
1219,1256,0.0591362302934107,-0.3603051507193154,0.0907616332295628,0.0591335182350047,0.0915617,0.0203502,0.0387833182350047
654,667,0.2276947058887855,-0.0818657456383235,0.4177893321066659,0.2276937773592803,0.4153091,0.1888518,0.03884197735928033
707,722,0.0966279839315028,-0.1874749586163123,0.0912453333749742,0.0966050987541001,0.0832192,0.0575458,0.0390592987541001
475,483,0.0639444244899977,-0.1518986649345721,0.3164057942976148,0.0639525149676297,0.3172253,0.0247592,0.039193314967629705
1565,1617,0.1991553892050974,-0.0506862719196395,0.214209461628766,0.1991546354330525,0.214516,0.1594091,0.03974553543305251
959,978,0.1643849590021766,-0.0250379746183744,0.3749003725021985,0.1643846672317982,0.3765593,0.2043305,0.039945832768201794
519,528,0.0701805127147674,-0.2365958098616381,0.206708364232623,0.0701793388582893,0.2072302,0.030109,0.0400703388582893
1797,1859,0.1450102569834549,0.3261840392325233,0.1475393373584415,0.1450120391166512,0.1469416,0.1047133,0.0402987391166512
129,130,0.1444796681305094,0.0538399542347375,0.3716062885564683,0.1444802452387969,0.3764782,0.1853124,0.04083215476120308
886,903,0.0678089921701938,-0.4193532773275162,0.1947867795627537,0.0678065815878809,0.1946038,0.026949,0.0408575815878809
107,108,0.1474793648431998,-0.434908473353414,0.0842496674344946,0.1474789053665244,0.0836069,0.1061517,0.041327205366524386
1266,1304,0.1832570283496954,-0.339570141921633,0.3036827219877976,0.1832565842922541,0.3039807,0.1413334,0.04192318429225411
926,945,0.2858850761850451,0.0724579086831351,0.5144289759901928,0.2857950025345435,0.5128512,0.2438615,0.041933502534543476
367,372,0.2899111201676971,-0.0135156259305168,0.428380694059467,0.2899050384116981,0.4210108,0.2457657,0.04413933841169812
145,147,0.0487692798377473,-0.1033309953759464,0.0533572485255105,0.0487669872182205,0.0530876,0.0035753,0.045191687218220505
121,122,0.1030764672808581,0.3899301641293194,0.0331014370058265,0.1030763730467567,0.0326599,0.0578586,0.04521777304675669
1151,1182,0.1541435440449176,-0.1596700964192601,0.1706678061388712,0.1541281904393886,0.1626967,0.1086737,0.04545449043938861
1226,1263,0.2439667612117907,-0.0209655947032981,0.4916390116471183,0.2435560304808879,0.4927319,0.1978147,0.04574133048088788
